tag,context,y,x,mac_q,mac_sc_q
before_raw_cswitch_B,0,7,13,147382596,0
before_raw_cswitch_B,0,7,14,-1095849795,0
before_raw_cswitch_B,0,7,15,-2928420564,0
before_raw_cswitch_A,0,0,0,4453143531,0
before_raw_cswitch_A,0,0,1,-5484665316,0
before_raw_cswitch_A,0,0,2,-623849138,0
before_raw_cswitch_A,0,0,3,875765822,0
before_raw_cswitch_A,0,0,4,1583730785,0
before_raw_cswitch_A,0,0,5,-283162037,0
before_raw_cswitch_A,0,0,6,-343098521,0
before_raw_cswitch_A,0,0,7,-2318233339,0
before_raw_cswitch_A,0,0,8,-1370250092,0
before_raw_cswitch_A,0,0,9,-5463527062,0
before_raw_cswitch_A,0,0,10,762808627,0
before_raw_cswitch_A,0,0,11,-5706786994,0
before_raw_cswitch_A,0,0,12,-2754969815,0
before_raw_cswitch_A,0,0,13,-3751572881,0
before_raw_cswitch_A,0,0,14,-10692212,0
before_raw_cswitch_A,0,0,15,4160964284,0
before_raw_cswitch_A,0,1,0,-1107914104,0
before_raw_cswitch_A,0,1,1,-6230238548,0
before_raw_cswitch_A,0,1,2,1150175904,0
before_raw_cswitch_A,0,1,3,3116889829,0
before_raw_cswitch_A,0,1,4,2874439341,0
before_raw_cswitch_A,0,1,5,-2304035779,0
before_raw_cswitch_A,0,1,6,-3019072647,0
before_raw_cswitch_A,0,1,7,-1175953999,0
before_raw_cswitch_A,0,1,8,-3548116624,0
before_raw_cswitch_A,0,1,9,-1356838400,0
before_raw_cswitch_A,0,1,10,-1513026541,0
before_raw_cswitch_A,0,1,11,-3283277122,0
before_raw_cswitch_A,0,1,12,-733725109,0
before_raw_cswitch_A,0,1,13,2986443328,0
before_raw_cswitch_A,0,1,14,2633181486,0
before_raw_cswitch_A,0,1,15,-1568613703,0
before_raw_cswitch_A,0,2,0,-3359650239,0
before_raw_cswitch_A,0,2,1,2232137221,0
before_raw_cswitch_A,0,2,2,864503870,0
before_raw_cswitch_A,0,2,3,-2598309270,0
before_raw_cswitch_A,0,2,4,-4373910406,0
before_raw_cswitch_A,0,2,5,230986334,0
before_raw_cswitch_A,0,2,6,641816419,0
before_raw_cswitch_A,0,2,7,-2939089642,0
before_raw_cswitch_A,0,2,8,-2080901327,0
before_raw_cswitch_A,0,2,9,944192329,0
before_raw_cswitch_A,0,2,10,-3790733793,0
before_raw_cswitch_A,0,2,11,-2456205979,0
before_raw_cswitch_A,0,2,12,-1949622362,0
before_raw_cswitch_A,0,2,13,715224003,0
before_raw_cswitch_A,0,2,14,1116067873,0
before_raw_cswitch_A,0,2,15,-1966513928,0
before_raw_cswitch_A,0,3,0,748806420,0
before_raw_cswitch_A,0,3,1,4009166104,0
before_raw_cswitch_A,0,3,2,3538942761,0
before_raw_cswitch_A,0,3,3,1497561462,0
before_raw_cswitch_A,0,3,4,2387955576,0
before_raw_cswitch_A,0,3,5,5318264982,0
before_raw_cswitch_A,0,3,6,-3679751751,0
before_raw_cswitch_A,0,3,7,1700266985,0
before_raw_cswitch_A,0,3,8,-1470740272,0
before_raw_cswitch_A,0,3,9,4649167975,0
before_raw_cswitch_A,0,3,10,-3896193654,0
before_raw_cswitch_A,0,3,11,1428125955,0
before_raw_cswitch_A,0,3,12,193616362,0
before_raw_cswitch_A,0,3,13,6308386785,0
before_raw_cswitch_A,0,3,14,-190753786,0
before_raw_cswitch_A,0,3,15,567127630,0
before_raw_cswitch_B,0,4,0,-3561146378,0
before_raw_cswitch_B,0,4,1,-561527900,0
before_raw_cswitch_B,0,4,2,-4041619172,0
before_raw_cswitch_B,0,4,3,-1596192981,0
before_raw_cswitch_B,0,4,4,306750492,0
before_raw_cswitch_B,0,4,5,1353157554,0
before_raw_cswitch_B,0,4,6,516805933,0
before_raw_cswitch_B,0,4,7,-3229397356,0
before_raw_cswitch_B,0,4,8,1973925441,0
before_raw_cswitch_B,0,4,9,1085306086,0
before_raw_cswitch_B,0,4,10,-3368101472,0
before_raw_cswitch_B,0,4,11,4196045285,0
before_raw_cswitch_B,0,4,12,-2702101384,0
before_raw_cswitch_B,0,4,13,-518574986,0
before_raw_cswitch_B,0,4,14,-849604309,0
before_raw_cswitch_B,0,4,15,5484969303,0
before_raw_cswitch_B,0,5,0,-1548850774,0
before_raw_cswitch_B,0,5,1,-6616091888,0
before_raw_cswitch_B,0,5,2,-3745217267,0
before_raw_cswitch_B,0,5,3,4222348962,0
before_raw_cswitch_B,0,5,4,-1732382316,0
before_raw_cswitch_B,0,5,5,-1579363749,0
before_raw_cswitch_B,0,5,6,-11923655,0
before_raw_cswitch_B,0,5,7,-3707656338,0
before_raw_cswitch_B,0,5,8,-4697537838,0
before_raw_cswitch_B,0,5,9,-601874363,0
before_raw_cswitch_B,0,5,10,-2475368946,0
before_raw_cswitch_B,0,5,11,-4800750624,0
before_raw_cswitch_B,0,5,12,11160291576,0
before_raw_cswitch_B,0,5,13,-429858774,0
before_raw_cswitch_B,0,5,14,-146572934,0
before_raw_cswitch_B,0,5,15,1915225492,0
before_raw_cswitch_B,0,6,0,3411052684,0
before_raw_cswitch_B,0,6,1,-2076657571,0
before_raw_cswitch_B,0,6,2,72533051,0
before_raw_cswitch_B,0,6,3,-589621943,0
before_raw_cswitch_B,0,6,4,494987705,0
before_raw_cswitch_B,0,6,5,7397881,0
before_raw_cswitch_B,0,6,6,-134074990,0
before_raw_cswitch_B,0,6,7,1159253764,0
before_raw_cswitch_B,0,6,8,-1943469225,0
before_raw_cswitch_B,0,6,9,-964741323,0
before_raw_cswitch_B,0,6,10,1018772475,0
before_raw_cswitch_B,0,6,11,1968130023,0
before_raw_cswitch_B,0,6,12,2119098090,0
before_raw_cswitch_B,0,6,13,-5679050825,0
before_raw_cswitch_B,0,6,14,1979574842,0
before_raw_cswitch_B,0,6,15,1278145927,0
before_raw_cswitch_B,0,7,0,-3977727958,0
before_raw_cswitch_B,0,7,1,3376704307,0
before_raw_cswitch_B,0,7,2,662268563,0
before_raw_cswitch_B,0,7,3,2206631994,0
before_raw_cswitch_B,0,7,4,1399691383,0
before_raw_cswitch_B,0,7,5,-1012966957,0
before_raw_cswitch_B,0,7,6,1838194654,0
before_raw_cswitch_B,0,7,7,-1371949781,0
before_raw_cswitch_B,0,7,8,2128061419,0
before_raw_cswitch_B,0,7,9,3348939899,0
before_raw_cswitch_B,0,7,10,1230013037,0
before_raw_cswitch_B,0,7,11,-1008266871,0
before_raw_cswitch_B,0,7,12,-1128837958,0
before_raw_cswitch_B,0,7,13,147382596,0
before_raw_cswitch_B,0,7,14,-1095849795,0
before_raw_cswitch_B,0,7,15,-2928420564,0
before_raw_cswitch_A,0,0,0,4453143531,0
before_raw_cswitch_A,0,0,1,-5484665316,0
before_raw_cswitch_A,0,0,2,-623849138,0
before_raw_cswitch_A,0,0,3,875765822,0
before_raw_cswitch_A,0,0,4,1583730785,0
before_raw_cswitch_A,0,0,5,-283162037,0
before_raw_cswitch_A,0,0,6,-343098521,0
before_raw_cswitch_A,0,0,7,-2318233339,0
before_raw_cswitch_A,0,0,8,-1370250092,0
before_raw_cswitch_A,0,0,9,-5463527062,0
before_raw_cswitch_A,0,0,10,762808627,0
before_raw_cswitch_A,0,0,11,-5706786994,0
before_raw_cswitch_A,0,0,12,-2754969815,0
before_raw_cswitch_A,0,0,13,-3751572881,0
before_raw_cswitch_A,0,0,14,-10692212,0
before_raw_cswitch_A,0,0,15,4160964284,0
before_raw_cswitch_A,0,1,0,-1107914104,0
before_raw_cswitch_A,0,1,1,-6230238548,0
before_raw_cswitch_A,0,1,2,1150175904,0
before_raw_cswitch_A,0,1,3,3116889829,0
before_raw_cswitch_A,0,1,4,2874439341,0
before_raw_cswitch_A,0,1,5,-2304035779,0
before_raw_cswitch_A,0,1,6,-3019072647,0
before_raw_cswitch_A,0,1,7,-1175953999,0
before_raw_cswitch_A,0,1,8,-3548116624,0
before_raw_cswitch_A,0,1,9,-1356838400,0
before_raw_cswitch_A,0,1,10,-1513026541,0
before_raw_cswitch_A,0,1,11,-3283277122,0
before_raw_cswitch_A,0,1,12,-733725109,0
before_raw_cswitch_A,0,1,13,2986443328,0
before_raw_cswitch_A,0,1,14,2633181486,0
before_raw_cswitch_A,0,1,15,-1568613703,0
before_raw_cswitch_A,0,2,0,-3359650239,0
before_raw_cswitch_A,0,2,1,2232137221,0
before_raw_cswitch_A,0,2,2,864503870,0
before_raw_cswitch_A,0,2,3,-2598309270,0
before_raw_cswitch_A,0,2,4,-4373910406,0
before_raw_cswitch_A,0,2,5,230986334,0
before_raw_cswitch_A,0,2,6,641816419,0
before_raw_cswitch_A,0,2,7,-2939089642,0
before_raw_cswitch_A,0,2,8,-2080901327,0
before_raw_cswitch_A,0,2,9,944192329,0
before_raw_cswitch_A,0,2,10,-3790733793,0
before_raw_cswitch_A,0,2,11,-2456205979,0
before_raw_cswitch_A,0,2,12,-1949622362,0
before_raw_cswitch_A,0,2,13,715224003,0
before_raw_cswitch_A,0,2,14,1116067873,0
before_raw_cswitch_A,0,2,15,-1966513928,0
before_raw_cswitch_A,0,3,0,748806420,0
before_raw_cswitch_A,0,3,1,4009166104,0
before_raw_cswitch_A,0,3,2,3538942761,0
before_raw_cswitch_A,0,3,3,1497561462,0
before_raw_cswitch_A,0,3,4,2387955576,0
before_raw_cswitch_A,0,3,5,5318264982,0
before_raw_cswitch_A,0,3,6,-3679751751,0
before_raw_cswitch_A,0,3,7,1700266985,0
before_raw_cswitch_A,0,3,8,-1470740272,0
before_raw_cswitch_A,0,3,9,4649167975,0
before_raw_cswitch_A,0,3,10,-3896193654,0
before_raw_cswitch_A,0,3,11,1428125955,0
before_raw_cswitch_A,0,3,12,193616362,0
before_raw_cswitch_A,0,3,13,6308386785,0
before_raw_cswitch_A,0,3,14,-190753786,0
before_raw_cswitch_A,0,3,15,567127630,0
before_raw_cswitch_B,0,4,0,-3561146378,0
before_raw_cswitch_B,0,4,1,-561527900,0
before_raw_cswitch_B,0,4,2,-4041619172,0
before_raw_cswitch_B,0,4,3,-1596192981,0
before_raw_cswitch_B,0,4,4,306750492,0
before_raw_cswitch_B,0,4,5,1353157554,0
before_raw_cswitch_B,0,4,6,516805933,0
before_raw_cswitch_B,0,4,7,-3229397356,0
before_raw_cswitch_B,0,4,8,1973925441,0
before_raw_cswitch_B,0,4,9,1085306086,0
before_raw_cswitch_B,0,4,10,-3368101472,0
before_raw_cswitch_B,0,4,11,4196045285,0
before_raw_cswitch_B,0,4,12,-2702101384,0
before_raw_cswitch_B,0,4,13,-518574986,0
before_raw_cswitch_B,0,4,14,-849604309,0
before_raw_cswitch_B,0,4,15,5484969303,0
before_raw_cswitch_B,0,5,0,-1548850774,0
before_raw_cswitch_B,0,5,1,-6616091888,0
before_raw_cswitch_B,0,5,2,-3745217267,0
before_raw_cswitch_B,0,5,3,4222348962,0
before_raw_cswitch_B,0,5,4,-1732382316,0
before_raw_cswitch_B,0,5,5,-1579363749,0
before_raw_cswitch_B,0,5,6,-11923655,0
before_raw_cswitch_B,0,5,7,-3707656338,0
before_raw_cswitch_B,0,5,8,-4697537838,0
before_raw_cswitch_B,0,5,9,-601874363,0
before_raw_cswitch_B,0,5,10,-2475368946,0
before_raw_cswitch_B,0,5,11,-4800750624,0
before_raw_cswitch_B,0,5,12,11160291576,0
before_raw_cswitch_B,0,5,13,-429858774,0
before_raw_cswitch_B,0,5,14,-146572934,0
before_raw_cswitch_B,0,5,15,1915225492,0
before_raw_cswitch_B,0,6,0,3411052684,0
before_raw_cswitch_B,0,6,1,-2076657571,0
before_raw_cswitch_B,0,6,2,72533051,0
before_raw_cswitch_B,0,6,3,-589621943,0
before_raw_cswitch_B,0,6,4,494987705,0
before_raw_cswitch_B,0,6,5,7397881,0
before_raw_cswitch_B,0,6,6,-134074990,0
before_raw_cswitch_B,0,6,7,1159253764,0
before_raw_cswitch_B,0,6,8,-1943469225,0
before_raw_cswitch_B,0,6,9,-964741323,0
before_raw_cswitch_B,0,6,10,1018772475,0
before_raw_cswitch_B,0,6,11,1968130023,0
before_raw_cswitch_B,0,6,12,2119098090,0
before_raw_cswitch_B,0,6,13,-5679050825,0
before_raw_cswitch_B,0,6,14,1979574842,0
before_raw_cswitch_B,0,6,15,1278145927,0
before_raw_cswitch_B,0,7,0,-3977727958,0
before_raw_cswitch_B,0,7,1,3376704307,0
before_raw_cswitch_B,0,7,2,662268563,0
before_raw_cswitch_B,0,7,3,2206631994,0
before_raw_cswitch_B,0,7,4,1399691383,0
before_raw_cswitch_B,0,7,5,-1012966957,0
before_raw_cswitch_B,0,7,6,1838194654,0
before_raw_cswitch_B,0,7,7,-1371949781,0
before_raw_cswitch_B,0,7,8,2128061419,0
before_raw_cswitch_B,0,7,9,3348939899,0
before_raw_cswitch_B,0,7,10,1230013037,0
before_raw_cswitch_B,0,7,11,-1008266871,0
before_raw_cswitch_B,0,7,12,-1128837958,0
before_raw_cswitch_B,0,7,13,147382596,0
before_raw_cswitch_B,0,7,14,-1095849795,0
before_raw_cswitch_B,0,7,15,-2928420564,0
