tag,context,y,x,mac_q,mac_sc_q
before_raw_cswitch_B,0,6,5,13,0
before_raw_cswitch_B,0,6,6,-1,0
before_raw_cswitch_B,0,6,7,0,0
before_raw_cswitch_B,0,6,8,-6,0
before_raw_cswitch_B,0,6,9,-10,0
before_raw_cswitch_B,0,6,10,-10,0
before_raw_cswitch_B,0,6,11,-14,0
before_raw_cswitch_B,0,6,12,-10,0
before_raw_cswitch_B,0,6,13,0,0
before_raw_cswitch_B,0,6,14,2,0
before_raw_cswitch_B,0,6,15,-6,0
before_raw_cswitch_B,0,7,0,-9,0
before_raw_cswitch_B,0,7,1,-11,0
before_raw_cswitch_B,0,7,2,-22,0
before_raw_cswitch_B,0,7,3,-4,0
before_raw_cswitch_B,0,7,4,13,0
before_raw_cswitch_B,0,7,5,-12,0
before_raw_cswitch_B,0,7,6,-13,0
before_raw_cswitch_B,0,7,7,10,0
before_raw_cswitch_B,0,7,8,-16,0
before_raw_cswitch_B,0,7,9,-11,0
before_raw_cswitch_B,0,7,10,-4,0
before_raw_cswitch_B,0,7,11,-19,0
before_raw_cswitch_B,0,7,12,-8,0
before_raw_cswitch_B,0,7,13,1,0
before_raw_cswitch_B,0,7,14,-7,0
before_raw_cswitch_B,0,7,15,2,0
before_raw_cswitch_A,0,0,0,-5,0
before_raw_cswitch_A,0,0,1,5,0
before_raw_cswitch_A,0,0,2,6,0
before_raw_cswitch_A,0,0,3,0,0
before_raw_cswitch_A,0,0,4,8,0
before_raw_cswitch_A,0,0,5,0,0
before_raw_cswitch_A,0,0,6,8,0
before_raw_cswitch_A,0,0,7,-10,0
before_raw_cswitch_A,0,0,8,-1,0
before_raw_cswitch_A,0,0,9,2,0
before_raw_cswitch_A,0,0,10,0,0
before_raw_cswitch_A,0,0,11,2,0
before_raw_cswitch_A,0,0,12,0,0
before_raw_cswitch_A,0,0,13,-5,0
before_raw_cswitch_A,0,0,14,1,0
before_raw_cswitch_A,0,0,15,12,0
before_raw_cswitch_A,0,1,0,7,0
before_raw_cswitch_A,0,1,1,5,0
before_raw_cswitch_A,0,1,2,5,0
before_raw_cswitch_A,0,1,3,-4,0
before_raw_cswitch_A,0,1,4,20,0
before_raw_cswitch_A,0,1,5,-6,0
before_raw_cswitch_A,0,1,6,-1,0
before_raw_cswitch_A,0,1,7,-5,0
before_raw_cswitch_A,0,1,8,-1,0
before_raw_cswitch_A,0,1,9,-3,0
before_raw_cswitch_A,0,1,10,-7,0
before_raw_cswitch_A,0,1,11,9,0
before_raw_cswitch_A,0,1,12,3,0
before_raw_cswitch_A,0,1,13,-2,0
before_raw_cswitch_A,0,1,14,0,0
before_raw_cswitch_A,0,1,15,-9,0
before_raw_cswitch_A,0,2,0,6,0
before_raw_cswitch_A,0,2,1,-12,0
before_raw_cswitch_A,0,2,2,1,0
before_raw_cswitch_A,0,2,3,-5,0
before_raw_cswitch_A,0,2,4,-2,0
before_raw_cswitch_A,0,2,5,1,0
before_raw_cswitch_A,0,2,6,-6,0
before_raw_cswitch_A,0,2,7,0,0
before_raw_cswitch_A,0,2,8,-4,0
before_raw_cswitch_A,0,2,9,2,0
before_raw_cswitch_A,0,2,10,-7,0
before_raw_cswitch_A,0,2,11,4,0
before_raw_cswitch_A,0,2,12,-3,0
before_raw_cswitch_A,0,2,13,4,0
before_raw_cswitch_A,0,2,14,-6,0
before_raw_cswitch_A,0,2,15,-10,0
before_raw_cswitch_A,0,3,0,-13,0
before_raw_cswitch_A,0,3,1,-3,0
before_raw_cswitch_A,0,3,2,17,0
before_raw_cswitch_A,0,3,3,-6,0
before_raw_cswitch_A,0,3,4,16,0
before_raw_cswitch_A,0,3,5,-3,0
before_raw_cswitch_A,0,3,6,-1,0
before_raw_cswitch_A,0,3,7,-1,0
before_raw_cswitch_A,0,3,8,15,0
before_raw_cswitch_A,0,3,9,0,0
before_raw_cswitch_A,0,3,10,3,0
before_raw_cswitch_A,0,3,11,0,0
before_raw_cswitch_A,0,3,12,-8,0
before_raw_cswitch_A,0,3,13,7,0
before_raw_cswitch_A,0,3,14,-1,0
before_raw_cswitch_A,0,3,15,5,0
before_raw_cswitch_B,0,4,0,-4,0
before_raw_cswitch_B,0,4,1,-5,0
before_raw_cswitch_B,0,4,2,4,0
before_raw_cswitch_B,0,4,3,-5,0
before_raw_cswitch_B,0,4,4,14,0
before_raw_cswitch_B,0,4,5,-6,0
before_raw_cswitch_B,0,4,6,-9,0
before_raw_cswitch_B,0,4,7,6,0
before_raw_cswitch_B,0,4,8,-8,0
before_raw_cswitch_B,0,4,9,4,0
before_raw_cswitch_B,0,4,10,-4,0
before_raw_cswitch_B,0,4,11,-3,0
before_raw_cswitch_B,0,4,12,-10,0
before_raw_cswitch_B,0,4,13,2,0
before_raw_cswitch_B,0,4,14,10,0
before_raw_cswitch_B,0,4,15,-9,0
before_raw_cswitch_B,0,5,0,-9,0
before_raw_cswitch_B,0,5,1,10,0
before_raw_cswitch_B,0,5,2,6,0
before_raw_cswitch_B,0,5,3,0,0
before_raw_cswitch_B,0,5,4,6,0
before_raw_cswitch_B,0,5,5,7,0
before_raw_cswitch_B,0,5,6,-16,0
before_raw_cswitch_B,0,5,7,0,0
before_raw_cswitch_B,0,5,8,-3,0
before_raw_cswitch_B,0,5,9,-1,0
before_raw_cswitch_B,0,5,10,-7,0
before_raw_cswitch_B,0,5,11,-9,0
before_raw_cswitch_B,0,5,12,-11,0
before_raw_cswitch_B,0,5,13,-13,0
before_raw_cswitch_B,0,5,14,2,0
before_raw_cswitch_B,0,5,15,-7,0
before_raw_cswitch_B,0,6,0,-22,0
before_raw_cswitch_B,0,6,1,-5,0
before_raw_cswitch_B,0,6,2,-3,0
before_raw_cswitch_B,0,6,3,14,0
before_raw_cswitch_B,0,6,4,0,0
before_raw_cswitch_B,0,6,5,13,0
before_raw_cswitch_B,0,6,6,-1,0
before_raw_cswitch_B,0,6,7,0,0
before_raw_cswitch_B,0,6,8,-6,0
before_raw_cswitch_B,0,6,9,-10,0
before_raw_cswitch_B,0,6,10,-10,0
before_raw_cswitch_B,0,6,11,-14,0
before_raw_cswitch_B,0,6,12,-10,0
before_raw_cswitch_B,0,6,13,0,0
before_raw_cswitch_B,0,6,14,2,0
before_raw_cswitch_B,0,6,15,-6,0
before_raw_cswitch_B,0,7,0,-9,0
before_raw_cswitch_B,0,7,1,-11,0
before_raw_cswitch_B,0,7,2,-22,0
before_raw_cswitch_B,0,7,3,-4,0
before_raw_cswitch_B,0,7,4,13,0
before_raw_cswitch_B,0,7,5,-12,0
before_raw_cswitch_B,0,7,6,-13,0
before_raw_cswitch_B,0,7,7,10,0
before_raw_cswitch_B,0,7,8,-16,0
before_raw_cswitch_B,0,7,9,-11,0
before_raw_cswitch_B,0,7,10,-4,0
before_raw_cswitch_B,0,7,11,-19,0
before_raw_cswitch_B,0,7,12,-8,0
before_raw_cswitch_B,0,7,13,1,0
before_raw_cswitch_B,0,7,14,-7,0
before_raw_cswitch_B,0,7,15,2,0
before_raw_cswitch_A,0,0,0,-5,0
before_raw_cswitch_A,0,0,1,5,0
before_raw_cswitch_A,0,0,2,6,0
before_raw_cswitch_A,0,0,3,0,0
before_raw_cswitch_A,0,0,4,8,0
before_raw_cswitch_A,0,0,5,0,0
before_raw_cswitch_A,0,0,6,8,0
before_raw_cswitch_A,0,0,7,-10,0
before_raw_cswitch_A,0,0,8,-1,0
before_raw_cswitch_A,0,0,9,2,0
before_raw_cswitch_A,0,0,10,0,0
before_raw_cswitch_A,0,0,11,2,0
before_raw_cswitch_A,0,0,12,0,0
before_raw_cswitch_A,0,0,13,-5,0
before_raw_cswitch_A,0,0,14,1,0
before_raw_cswitch_A,0,0,15,12,0
before_raw_cswitch_A,0,1,0,7,0
before_raw_cswitch_A,0,1,1,5,0
before_raw_cswitch_A,0,1,2,5,0
before_raw_cswitch_A,0,1,3,-4,0
before_raw_cswitch_A,0,1,4,20,0
before_raw_cswitch_A,0,1,5,-6,0
before_raw_cswitch_A,0,1,6,-1,0
before_raw_cswitch_A,0,1,7,-5,0
before_raw_cswitch_A,0,1,8,-1,0
before_raw_cswitch_A,0,1,9,-3,0
before_raw_cswitch_A,0,1,10,-7,0
before_raw_cswitch_A,0,1,11,9,0
before_raw_cswitch_A,0,1,12,3,0
before_raw_cswitch_A,0,1,13,-2,0
before_raw_cswitch_A,0,1,14,0,0
before_raw_cswitch_A,0,1,15,-9,0
before_raw_cswitch_A,0,2,0,6,0
before_raw_cswitch_A,0,2,1,-12,0
before_raw_cswitch_A,0,2,2,1,0
before_raw_cswitch_A,0,2,3,-5,0
before_raw_cswitch_A,0,2,4,-2,0
before_raw_cswitch_A,0,2,5,1,0
before_raw_cswitch_A,0,2,6,-6,0
before_raw_cswitch_A,0,2,7,0,0
before_raw_cswitch_A,0,2,8,-4,0
before_raw_cswitch_A,0,2,9,2,0
before_raw_cswitch_A,0,2,10,-7,0
before_raw_cswitch_A,0,2,11,4,0
before_raw_cswitch_A,0,2,12,-3,0
before_raw_cswitch_A,0,2,13,4,0
before_raw_cswitch_A,0,2,14,-6,0
before_raw_cswitch_A,0,2,15,-10,0
before_raw_cswitch_A,0,3,0,-13,0
before_raw_cswitch_A,0,3,1,-3,0
before_raw_cswitch_A,0,3,2,17,0
before_raw_cswitch_A,0,3,3,-6,0
before_raw_cswitch_A,0,3,4,16,0
before_raw_cswitch_A,0,3,5,-3,0
before_raw_cswitch_A,0,3,6,-1,0
before_raw_cswitch_A,0,3,7,-1,0
before_raw_cswitch_A,0,3,8,15,0
before_raw_cswitch_A,0,3,9,0,0
before_raw_cswitch_A,0,3,10,3,0
before_raw_cswitch_A,0,3,11,0,0
before_raw_cswitch_A,0,3,12,-8,0
before_raw_cswitch_A,0,3,13,7,0
before_raw_cswitch_A,0,3,14,-1,0
before_raw_cswitch_A,0,3,15,5,0
before_raw_cswitch_B,0,4,0,-4,0
before_raw_cswitch_B,0,4,1,-5,0
before_raw_cswitch_B,0,4,2,4,0
before_raw_cswitch_B,0,4,3,-5,0
before_raw_cswitch_B,0,4,4,14,0
before_raw_cswitch_B,0,4,5,-6,0
before_raw_cswitch_B,0,4,6,-9,0
before_raw_cswitch_B,0,4,7,6,0
before_raw_cswitch_B,0,4,8,-8,0
before_raw_cswitch_B,0,4,9,4,0
before_raw_cswitch_B,0,4,10,-4,0
before_raw_cswitch_B,0,4,11,-3,0
before_raw_cswitch_B,0,4,12,-10,0
before_raw_cswitch_B,0,4,13,2,0
before_raw_cswitch_B,0,4,14,10,0
before_raw_cswitch_B,0,4,15,-9,0
before_raw_cswitch_B,0,5,0,-9,0
before_raw_cswitch_B,0,5,1,10,0
before_raw_cswitch_B,0,5,2,6,0
before_raw_cswitch_B,0,5,3,0,0
before_raw_cswitch_B,0,5,4,6,0
before_raw_cswitch_B,0,5,5,7,0
before_raw_cswitch_B,0,5,6,-16,0
before_raw_cswitch_B,0,5,7,0,0
before_raw_cswitch_B,0,5,8,-3,0
before_raw_cswitch_B,0,5,9,-1,0
before_raw_cswitch_B,0,5,10,-7,0
before_raw_cswitch_B,0,5,11,-9,0
before_raw_cswitch_B,0,5,12,-11,0
before_raw_cswitch_B,0,5,13,-13,0
before_raw_cswitch_B,0,5,14,2,0
before_raw_cswitch_B,0,5,15,-7,0
before_raw_cswitch_B,0,6,0,-22,0
before_raw_cswitch_B,0,6,1,-5,0
before_raw_cswitch_B,0,6,2,-3,0
before_raw_cswitch_B,0,6,3,14,0
before_raw_cswitch_B,0,6,4,0,0
before_raw_cswitch_B,0,6,5,13,0
before_raw_cswitch_B,0,6,6,-1,0
before_raw_cswitch_B,0,6,7,0,0
before_raw_cswitch_B,0,6,8,-6,0
before_raw_cswitch_B,0,6,9,-10,0
before_raw_cswitch_B,0,6,10,-10,0
before_raw_cswitch_B,0,6,11,-14,0
before_raw_cswitch_B,0,6,12,-10,0
before_raw_cswitch_B,0,6,13,0,0
before_raw_cswitch_B,0,6,14,2,0
before_raw_cswitch_B,0,6,15,-6,0
before_raw_cswitch_B,0,7,0,-9,0
before_raw_cswitch_B,0,7,1,-11,0
before_raw_cswitch_B,0,7,2,-22,0
before_raw_cswitch_B,0,7,3,-4,0
before_raw_cswitch_B,0,7,4,13,0
before_raw_cswitch_B,0,7,5,-12,0
before_raw_cswitch_B,0,7,6,-13,0
before_raw_cswitch_B,0,7,7,10,0
before_raw_cswitch_B,0,7,8,-16,0
before_raw_cswitch_B,0,7,9,-11,0
before_raw_cswitch_B,0,7,10,-4,0
before_raw_cswitch_B,0,7,11,-19,0
before_raw_cswitch_B,0,7,12,-8,0
before_raw_cswitch_B,0,7,13,1,0
before_raw_cswitch_B,0,7,14,-7,0
before_raw_cswitch_B,0,7,15,2,0
