tag,context,y,x,mac_q,mac_sc_q
before_raw_cswitch_B,0,5,6,-36132,0
before_raw_cswitch_B,0,5,7,-35740,0
before_raw_cswitch_B,0,5,8,-13993,0
before_raw_cswitch_B,0,5,9,64169,0
before_raw_cswitch_B,0,5,10,-1534,0
before_raw_cswitch_B,0,5,11,53233,0
before_raw_cswitch_B,0,5,12,-6593,0
before_raw_cswitch_B,0,5,13,-14798,0
before_raw_cswitch_B,0,5,14,-18474,0
before_raw_cswitch_B,0,5,15,13169,0
before_raw_cswitch_B,0,6,0,-24174,0
before_raw_cswitch_B,0,6,1,-103464,0
before_raw_cswitch_B,0,6,2,-64680,0
before_raw_cswitch_B,0,6,3,-79541,0
before_raw_cswitch_B,0,6,4,-25558,0
before_raw_cswitch_B,0,6,5,40848,0
before_raw_cswitch_B,0,6,6,113259,0
before_raw_cswitch_B,0,6,7,11544,0
before_raw_cswitch_B,0,6,8,6861,0
before_raw_cswitch_B,0,6,9,-40222,0
before_raw_cswitch_B,0,6,10,57455,0
before_raw_cswitch_B,0,6,11,-29331,0
before_raw_cswitch_B,0,6,12,-11570,0
before_raw_cswitch_B,0,6,13,81682,0
before_raw_cswitch_B,0,6,14,-26394,0
before_raw_cswitch_B,0,6,15,62489,0
before_raw_cswitch_B,0,7,0,26835,0
before_raw_cswitch_B,0,7,1,-59294,0
before_raw_cswitch_B,0,7,2,-55490,0
before_raw_cswitch_B,0,7,3,-14521,0
before_raw_cswitch_B,0,7,4,-41145,0
before_raw_cswitch_B,0,7,5,27423,0
before_raw_cswitch_B,0,7,6,71438,0
before_raw_cswitch_B,0,7,7,38304,0
before_raw_cswitch_B,0,7,8,-79191,0
before_raw_cswitch_B,0,7,9,26137,0
before_raw_cswitch_B,0,7,10,2400,0
before_raw_cswitch_B,0,7,11,34140,0
before_raw_cswitch_B,0,7,12,-56103,0
before_raw_cswitch_B,0,7,13,32002,0
before_raw_cswitch_B,0,7,14,39040,0
before_raw_cswitch_B,0,7,15,73052,0
before_raw_cswitch_A,0,0,0,-39410,0
before_raw_cswitch_A,0,0,1,-9584,0
before_raw_cswitch_A,0,0,2,50705,0
before_raw_cswitch_A,0,0,3,34747,0
before_raw_cswitch_A,0,0,4,43987,0
before_raw_cswitch_A,0,0,5,29987,0
before_raw_cswitch_A,0,0,6,51358,0
before_raw_cswitch_A,0,0,7,6746,0
before_raw_cswitch_A,0,0,8,19776,0
before_raw_cswitch_A,0,0,9,1224,0
before_raw_cswitch_A,0,0,10,55911,0
before_raw_cswitch_A,0,0,11,2858,0
before_raw_cswitch_A,0,0,12,10200,0
before_raw_cswitch_A,0,0,13,41723,0
before_raw_cswitch_A,0,0,14,2449,0
before_raw_cswitch_A,0,0,15,-18124,0
before_raw_cswitch_A,0,1,0,-43236,0
before_raw_cswitch_A,0,1,1,23528,0
before_raw_cswitch_A,0,1,2,33286,0
before_raw_cswitch_A,0,1,3,33890,0
before_raw_cswitch_A,0,1,4,27933,0
before_raw_cswitch_A,0,1,5,5433,0
before_raw_cswitch_A,0,1,6,-19021,0
before_raw_cswitch_A,0,1,7,-6596,0
before_raw_cswitch_A,0,1,8,35316,0
before_raw_cswitch_A,0,1,9,-51505,0
before_raw_cswitch_A,0,1,10,69312,0
before_raw_cswitch_A,0,1,11,-25553,0
before_raw_cswitch_A,0,1,12,-8871,0
before_raw_cswitch_A,0,1,13,36155,0
before_raw_cswitch_A,0,1,14,59224,0
before_raw_cswitch_A,0,1,15,29577,0
before_raw_cswitch_A,0,2,0,14802,0
before_raw_cswitch_A,0,2,1,-800,0
before_raw_cswitch_A,0,2,2,-19361,0
before_raw_cswitch_A,0,2,3,38095,0
before_raw_cswitch_A,0,2,4,-9606,0
before_raw_cswitch_A,0,2,5,18556,0
before_raw_cswitch_A,0,2,6,21396,0
before_raw_cswitch_A,0,2,7,-47869,0
before_raw_cswitch_A,0,2,8,-25716,0
before_raw_cswitch_A,0,2,9,-66069,0
before_raw_cswitch_A,0,2,10,-54634,0
before_raw_cswitch_A,0,2,11,-46537,0
before_raw_cswitch_A,0,2,12,-6133,0
before_raw_cswitch_A,0,2,13,-38994,0
before_raw_cswitch_A,0,2,14,27676,0
before_raw_cswitch_A,0,2,15,-41801,0
before_raw_cswitch_A,0,3,0,-5243,0
before_raw_cswitch_A,0,3,1,10557,0
before_raw_cswitch_A,0,3,2,-40031,0
before_raw_cswitch_A,0,3,3,11943,0
before_raw_cswitch_A,0,3,4,56617,0
before_raw_cswitch_A,0,3,5,-18475,0
before_raw_cswitch_A,0,3,6,-105315,0
before_raw_cswitch_A,0,3,7,3482,0
before_raw_cswitch_A,0,3,8,9263,0
before_raw_cswitch_A,0,3,9,-51237,0
before_raw_cswitch_A,0,3,10,-10864,0
before_raw_cswitch_A,0,3,11,-20624,0
before_raw_cswitch_A,0,3,12,-54968,0
before_raw_cswitch_A,0,3,13,-68803,0
before_raw_cswitch_A,0,3,14,36693,0
before_raw_cswitch_A,0,3,15,24906,0
before_raw_cswitch_B,0,4,0,-21654,0
before_raw_cswitch_B,0,4,1,-30852,0
before_raw_cswitch_B,0,4,2,-41056,0
before_raw_cswitch_B,0,4,3,36484,0
before_raw_cswitch_B,0,4,4,11239,0
before_raw_cswitch_B,0,4,5,41411,0
before_raw_cswitch_B,0,4,6,104847,0
before_raw_cswitch_B,0,4,7,-14193,0
before_raw_cswitch_B,0,4,8,-5051,0
before_raw_cswitch_B,0,4,9,-18991,0
before_raw_cswitch_B,0,4,10,4324,0
before_raw_cswitch_B,0,4,11,27335,0
before_raw_cswitch_B,0,4,12,-86595,0
before_raw_cswitch_B,0,4,13,-36027,0
before_raw_cswitch_B,0,4,14,44276,0
before_raw_cswitch_B,0,4,15,-160,0
before_raw_cswitch_B,0,5,0,74045,0
before_raw_cswitch_B,0,5,1,12935,0
before_raw_cswitch_B,0,5,2,-28446,0
before_raw_cswitch_B,0,5,3,68364,0
before_raw_cswitch_B,0,5,4,45816,0
before_raw_cswitch_B,0,5,5,-10964,0
before_raw_cswitch_B,0,5,6,-36132,0
before_raw_cswitch_B,0,5,7,-35740,0
before_raw_cswitch_B,0,5,8,-13993,0
before_raw_cswitch_B,0,5,9,64169,0
before_raw_cswitch_B,0,5,10,-1534,0
before_raw_cswitch_B,0,5,11,53233,0
before_raw_cswitch_B,0,5,12,-6593,0
before_raw_cswitch_B,0,5,13,-14798,0
before_raw_cswitch_B,0,5,14,-18474,0
before_raw_cswitch_B,0,5,15,13169,0
before_raw_cswitch_B,0,6,0,-24174,0
before_raw_cswitch_B,0,6,1,-103464,0
before_raw_cswitch_B,0,6,2,-64680,0
before_raw_cswitch_B,0,6,3,-79541,0
before_raw_cswitch_B,0,6,4,-25558,0
before_raw_cswitch_B,0,6,5,40848,0
before_raw_cswitch_B,0,6,6,113259,0
before_raw_cswitch_B,0,6,7,11544,0
before_raw_cswitch_B,0,6,8,6861,0
before_raw_cswitch_B,0,6,9,-40222,0
before_raw_cswitch_B,0,6,10,57455,0
before_raw_cswitch_B,0,6,11,-29331,0
before_raw_cswitch_B,0,6,12,-11570,0
before_raw_cswitch_B,0,6,13,81682,0
before_raw_cswitch_B,0,6,14,-26394,0
before_raw_cswitch_B,0,6,15,62489,0
before_raw_cswitch_B,0,7,0,26835,0
before_raw_cswitch_B,0,7,1,-59294,0
before_raw_cswitch_B,0,7,2,-55490,0
before_raw_cswitch_B,0,7,3,-14521,0
before_raw_cswitch_B,0,7,4,-41145,0
before_raw_cswitch_B,0,7,5,27423,0
before_raw_cswitch_B,0,7,6,71438,0
before_raw_cswitch_B,0,7,7,38304,0
before_raw_cswitch_B,0,7,8,-79191,0
before_raw_cswitch_B,0,7,9,26137,0
before_raw_cswitch_B,0,7,10,2400,0
before_raw_cswitch_B,0,7,11,34140,0
before_raw_cswitch_B,0,7,12,-56103,0
before_raw_cswitch_B,0,7,13,32002,0
before_raw_cswitch_B,0,7,14,39040,0
before_raw_cswitch_B,0,7,15,73052,0
